flag_id,check,severity,cbsa_code,cbsa_title,year,measure,detail,dispositioned
d68e1aef84,cross_source_income,BLOCKER,42660,"Seattle-Tacoma-Bellevue, WA",2020,bea_income_growth,"bea_income_growth +6.4% vs qcew_pay_growth +11.6% (centered diff -4.3%, z -1.7); verify boundary/source before publishing",False
01ee6b6b25,cross_source_income,BLOCKER,44700,"Stockton-Lodi, CA",2020,bea_income_growth,"bea_income_growth +14.0% vs qcew_pay_growth +8.9% (centered diff +6.0%, z +2.3); verify boundary/source before publishing",False
25d6d12543,cross_source_income,BLOCKER,15980,"Cape Coral-Fort Myers, FL",2021,bea_income_growth,"bea_income_growth +5.3% vs qcew_pay_growth +5.8% (centered diff -4.7%, z -2.1); verify boundary/source before publishing",False
446dfbb6b8,cross_source_income,BLOCKER,22220,"Fayetteville-Springdale-Rogers, AR",2021,bea_income_growth,"bea_income_growth +22.1% vs qcew_pay_growth +6.4% (centered diff +11.5%, z +5.2); verify boundary/source before publishing",False
3e961eeca1,cross_source_income,BLOCKER,24340,"Grand Rapids-Wyoming-Kentwood, MI",2021,bea_income_growth,"bea_income_growth +11.5% vs qcew_pay_growth +3.2% (centered diff +4.1%, z +1.9); verify boundary/source before publishing",False
7d0224355d,cross_source_income,BLOCKER,45060,"Syracuse, NY",2021,bea_income_growth,"bea_income_growth +5.6% vs qcew_pay_growth +5.8% (centered diff -4.4%, z -2.0); verify boundary/source before publishing",False
84533bb639,cross_source_income,BLOCKER,12420,"Austin-Round Rock-San Marcos, TX",2022,bea_income_growth,"bea_income_growth +8.2% vs qcew_pay_growth +5.0% (centered diff +5.1%, z +2.0); verify boundary/source before publishing",False
4174a8b2a6,cross_source_income,BLOCKER,12540,"Bakersfield-Delano, CA",2022,bea_income_growth,"bea_income_growth -3.6% vs qcew_pay_growth +2.7% (centered diff -4.3%, z -1.7); verify boundary/source before publishing",False
2259d5da4c,cross_source_income,BLOCKER,14860,"Bridgeport-Stamford-Danbury, CT",2022,bea_income_growth,"bea_income_growth +6.8% vs qcew_pay_growth +3.6% (centered diff +5.1%, z +1.9); verify boundary/source before publishing",False
29569bd557,cross_source_income,BLOCKER,15980,"Cape Coral-Fort Myers, FL",2022,bea_income_growth,"bea_income_growth +1.6% vs qcew_pay_growth +8.0% (centered diff -4.5%, z -1.7); verify boundary/source before publishing",False
b295527cc6,cross_source_income,BLOCKER,19740,"Denver-Aurora-Centennial, CO",2022,bea_income_growth,"bea_income_growth +8.2% vs qcew_pay_growth +5.2% (centered diff +4.8%, z +1.8); verify boundary/source before publishing",False
de21b4c27a,cross_source_income,BLOCKER,28140,"Kansas City, MO-KS",2022,bea_income_growth,"bea_income_growth +7.5% vs qcew_pay_growth +4.1% (centered diff +5.3%, z +2.0); verify boundary/source before publishing",False
119cb3abb4,cross_source_income,BLOCKER,29460,"Lakeland-Winter Haven, FL",2022,bea_income_growth,"bea_income_growth -1.0% vs qcew_pay_growth +6.7% (centered diff -5.8%, z -2.2); verify boundary/source before publishing",False
c404d16adb,cross_source_income,BLOCKER,32580,"McAllen-Edinburg-Mission, TX",2022,bea_income_growth,"bea_income_growth -3.0% vs qcew_pay_growth +4.3% (centered diff -5.4%, z -2.1); verify boundary/source before publishing",False
